Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4","000_7,5MM_FOIL_STANDARD",2,100N,
C2,CP_Elec_5x5.4,1,2U2,
"C3, C5",CP_Elec_5x5.4,2,10U,
D1,D_SOD-323_HandSoldering,1,5817,
"D2, D3",D_SOD-323_HandSoldering,2,bat85,
"D4, D5",D_SOD-323_HandSoldering,2,4148,
"R1, R11, R4",0402,3,22K,
R10,0402,1,2K2,
"R12, R13, R2",0402,3,10K,
"R16, R7",0402,2,4K7,
"R3, R8",0402,2,100k,
R5,0402,1,220R,
R6,0603,1,82K,
S2,sm_SPDT_rec_lug.2,1,LOOP,
S3,sm_SPDT_rec_lug.2,1,TIME,
SV1,EURO_PWR_HEADER_LOCK,1,POWER,
U$1,thonkiconn_offset,1,GATE,
U$2,thonkiconn_offset,1,OUT,
"U1, U2",SOP-8_3.76x4.96mm_P1.27mm,2,LM358,
"VR1, VR2",Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_centered,2,500K,
VR3,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_centered,1,100K,
